"null","Sourced","Placed","References","Value","Footprint"
1,"","","C1","0.1uF","C_0603_1608Metric"
2,"","","C2","0.1uF","C_0603_1608Metric"
3,"","","C5","0.1uF","C_0603_1608Metric"
4,"","","C7","0.1uF","C_0603_1608Metric"
5,"","","C8","0.1uF","C_0603_1608Metric"
6,"","","C9","0.1uF","C_0603_1608Metric"
7,"","","C10","0.1uF","C_0603_1608Metric"
8,"","","C11","0.1uF","C_0603_1608Metric"
9,"","","C12","0.1uF","C_0603_1608Metric"
10,"","","C13","0.1uF","C_0603_1608Metric"
11,"","","C14","0.1uF","C_0603_1608Metric"
12,"","","C15","0.1uF","C_0603_1608Metric"
13,"","","C16","0.1uF","C_0603_1608Metric"
14,"","","C17","0.1uF","C_0603_1608Metric"
15,"","","C18","0.1uF","C_0603_1608Metric"
16,"","","C19","0.1uF","C_0603_1608Metric"
17,"","","C20","0.1uF","C_0603_1608Metric"
18,"","","C21","0.1uF","C_0603_1608Metric"
19,"","","C22","0.1uF","C_0603_1608Metric"
20,"","","C23","0.1uF","C_0603_1608Metric"
21,"","","C24","0.1uF","C_0603_1608Metric"
22,"","","C25","0.1uF","C_0603_1608Metric"
23,"","","C26","0.1uF","C_0603_1608Metric"
24,"","","C27","0.1uF","C_0603_1608Metric"
25,"","","C28","0.1uF","C_0603_1608Metric"
26,"","","C29","0.1uF","C_0603_1608Metric"
27,"","","C30","0.1uF","C_0603_1608Metric"
28,"","","C31","0.1uF","C_0603_1608Metric"
29,"","","C32","0.1uF","C_0603_1608Metric"
30,"","","C33","0.1uF","C_0603_1608Metric"
31,"","","C34","0.1uF","C_0603_1608Metric"
32,"","","C35","0.1uF","C_0603_1608Metric"
33,"","","C40","0.1uF","C_0603_1608Metric"
34,"","","C41","1.0uF","C_0603_1608Metric"
35,"","","C42","1.0uF","C_0603_1608Metric"
36,"","","C43","1.0uF","C_0603_1608Metric"
37,"","","C44","1.0uF","C_0603_1608Metric"
38,"","","C45","1.0uF","C_0603_1608Metric"
39,"","","C3","220uF","CP_Radial_D6.3mm_P2.50mm"
40,"","","C4","220uF","CP_Radial_D6.3mm_P2.50mm"
41,"","","C46","220uF","CP_Radial_D6.3mm_P2.50mm"
42,"","","C36","330.0pF","C_0603_1608Metric"
43,"","","C37","330.0pF","C_0603_1608Metric"
44,"","","C6","47uF","CP_Radial_D4.0mm_P1.50mm"
45,"","","R6","10k","R_0805_2012Metric"
46,"","","R8","10k","R_0805_2012Metric"
47,"","","R17","10k","R_0805_2012Metric"
48,"","","R22","10k","R_0805_2012Metric"
49,"","","R26","10k","R_0805_2012Metric"
50,"","","R28","10k","R_0805_2012Metric"
51,"","","R30","10k","R_0805_2012Metric"
52,"","","R31","10k","R_0805_2012Metric"
53,"","","R32","10k","R_0805_2012Metric"
54,"","","R33","10k","R_0805_2012Metric"
55,"","","R34","10k","R_0805_2012Metric"
56,"","","R35","10k","R_0805_2012Metric"
57,"","","R36","10k","R_0805_2012Metric"
58,"","","R7",22,"R_0805_2012Metric"
59,"","","R9",22,"R_0805_2012Metric"
60,"","","R10",22,"R_0805_2012Metric"
61,"","","R11",22,"R_0805_2012Metric"
62,"","","R12",22,"R_0805_2012Metric"
63,"","","R13",22,"R_0805_2012Metric"
64,"","","R15",22,"R_0805_2012Metric"
65,"","","R16",22,"R_0805_2012Metric"
66,"","","R18",22,"R_0805_2012Metric"
67,"","","R19",22,"R_0805_2012Metric"
68,"","","R21",22,"R_0805_2012Metric"
69,"","","R1",510,"R_0805_2012Metric"
70,"","","R2",510,"R_0805_2012Metric"
71,"","","R3",510,"R_0805_2012Metric"
72,"","","R4",510,"R_0805_2012Metric"
